crew_id,stayover_outstation_count,deadhead_count,deadhead_position_count,inconsistent_location_count,insufficient_transfer_count,flight_task_limit,duty_task_limit,flight_time_limit,rest_time_limit,duty_time_limit,cycle_rule_count,total_duty_time_limit,unqualified_crew_count,total_duty_days,total_flight_time
Crew_10269,5,1,0,0,0,0,0,0,0,0,0,0,0,5,25.566666666666666
Crew_10270,2,2,0,0,0,0,0,0,0,0,0,0,0,4,13.866666666666665
Crew_10271,1,2,0,0,0,0,0,0,0,0,0,0,0,2,8.983333333333334
Crew_10272,5,0,0,0,0,0,0,0,0,0,0,0,0,5,25.0
Crew_10273,1,0,0,0,0,0,0,0,0,0,0,0,0,3,15.549999999999999
Crew_10274,6,0,0,0,0,0,0,0,0,0,0,0,0,5,29.4
Crew_10275,4,0,0,0,0,0,0,0,0,0,0,0,0,5,21.816666666666666
Crew_10276,2,1,0,0,0,0,0,0,0,0,0,0,0,3,20.633333333333333
Crew_10277,1,1,0,0,0,0,0,0,0,0,0,0,0,2,6.7
Crew_10278,1,0,0,0,0,0,0,0,0,0,0,0,0,4,16.400000000000002
Crew_10279,3,0,0,0,0,0,0,0,0,0,0,0,0,4,21.883333333333336
Crew_10280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10281,4,0,0,0,0,0,0,0,0,0,0,0,0,5,28.016666666666666
Crew_10282,2,0,0,0,0,0,0,0,0,0,0,0,0,2,13.316666666666666
Crew_10283,4,0,0,0,0,0,0,0,0,0,0,0,0,5,25.099999999999998
Crew_10284,5,0,0,0,0,0,0,0,0,0,0,0,0,4,23.566666666666663
Crew_10286,3,1,0,0,0,0,0,0,0,0,0,0,0,5,26.833333333333336
Crew_10287,5,0,0,0,0,0,0,0,0,0,0,0,0,5,23.883333333333333
Crew_10288,5,0,0,0,0,0,0,0,0,0,0,0,0,4,23.21666666666666
Crew_10289,6,0,0,0,0,0,0,0,0,0,0,0,0,5,24.916666666666664
Crew_10291,5,0,0,0,0,0,0,0,0,0,0,0,0,5,32.6
Crew_10292,2,2,0,0,0,0,0,0,0,0,0,0,0,4,24.966666666666665
Crew_10293,2,2,0,0,0,0,0,0,0,0,0,0,0,3,13.650000000000002
Crew_10294,2,0,0,0,0,0,0,0,0,0,0,0,0,5,21.216666666666665
Crew_10295,7,0,0,0,0,0,0,0,0,0,0,0,0,5,23.65
Crew_10297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10298,5,0,0,0,0,0,0,0,0,0,0,0,0,5,25.866666666666664
Crew_10300,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.933333333333335
Crew_10301,2,0,0,0,0,0,0,0,0,0,0,0,0,3,17.816666666666666
Crew_10302,7,0,0,0,0,0,0,0,0,0,0,0,0,5,21.7
Crew_10303,2,0,0,0,0,0,0,0,0,0,0,0,0,5,33.61666666666667
Crew_10304,4,0,0,0,0,0,0,0,0,0,0,0,0,5,23.799999999999997
Crew_10305,4,0,0,0,0,0,0,0,0,0,0,0,0,3,19.366666666666667
Crew_10306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10307,6,1,0,0,0,0,0,0,0,0,0,0,0,5,22.483333333333334
Crew_10308,7,1,0,0,0,0,0,0,0,0,0,0,0,5,28.733333333333334
Crew_10309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10310,6,0,0,0,0,0,0,0,0,0,0,0,0,5,25.616666666666664
Crew_10311,6,0,0,0,0,0,0,0,0,0,0,0,0,5,24.799999999999997
Crew_10313,7,0,0,0,0,0,0,0,0,0,0,0,0,5,26.516666666666662
Crew_10314,2,1,0,0,0,0,0,0,0,0,0,0,0,3,10.4
Crew_10315,5,0,0,0,0,0,0,0,0,0,0,0,0,5,31.950000000000003
Crew_10316,2,0,0,0,0,0,0,0,0,0,0,0,0,5,25.58333333333333
Crew_10318,1,1,0,0,0,0,0,0,0,0,0,0,0,2,14.366666666666667
Crew_10319,1,3,0,0,0,0,0,0,0,0,0,0,0,1,5.233333333333333
Crew_10320,7,0,0,0,0,0,0,0,0,0,0,0,0,5,31.9
Crew_10323,5,0,0,0,0,0,0,0,0,0,0,0,0,5,24.93333333333333
Crew_10324,5,0,0,0,0,0,0,0,0,0,0,0,0,5,25.2
Crew_10325,6,0,0,0,0,0,0,0,0,0,0,0,0,5,22.049999999999997
Crew_10326,2,1,0,0,0,0,0,0,0,0,1,0,0,1,6.05
Crew_10327,7,0,0,0,0,0,0,0,0,0,0,0,0,5,23.6
Crew_10328,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26.833333333333336
Crew_10329,6,0,0,0,0,0,0,0,0,0,0,0,0,5,24.483333333333338
Crew_10330,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.833333333333332
Crew_10331,6,0,0,0,0,0,0,0,0,0,0,0,0,5,26.433333333333337
Crew_10334,3,1,0,0,0,0,0,0,0,0,0,0,0,2,6.816666666666667
Crew_10335,4,0,0,0,0,0,0,0,0,0,0,0,0,5,29.283333333333335
Crew_10336,7,0,0,0,0,0,0,0,0,0,0,0,0,5,21.416666666666668
Crew_10337,5,0,0,0,0,0,0,0,0,0,0,0,0,5,24.483333333333338
Crew_10338,1,2,0,0,0,0,0,0,0,0,0,0,0,2,8.05
Crew_10339,2,0,0,0,0,0,0,0,0,0,0,0,0,5,26.733333333333334
Crew_10340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10341,3,0,0,0,0,0,0,0,0,0,0,0,0,4,23.866666666666667
Crew_10342,4,4,0,0,0,0,0,0,0,0,0,0,0,4,23.283333333333335
Crew_10343,5,0,0,0,0,0,0,0,0,0,0,0,0,5,25.71666666666667
Crew_10344,4,0,0,0,0,0,0,0,0,0,0,0,0,5,28.01666666666667
Crew_10345,3,1,0,0,0,0,0,0,0,0,0,0,0,2,9.6
Crew_10346,7,2,0,0,0,0,0,0,0,0,0,0,0,5,29.96666666666666
